age,alloc_method,coef_borjas,se_borjas,mean_resid_borjas,sum_weight_borjas,coef_tenure,se_tenure,mean_resid_tenure,sum_weight_tenure
30,1. old unweighted lottery,-0.16681861484690075,0.0029283096145330772,0.03745205098953833,20743,-0.13081861484690077,0.0029283096145330772,0.07345205098953829,20743
31,1. old unweighted lottery,-0.16681885044219025,0.002928309352361807,0.02664937223002834,18189,-0.13081885044219024,0.002928309352361807,0.06264937223002837,18189
32,1. old unweighted lottery,-0.1668190202092567,0.0029283173884925395,0.019038424902362152,16215,-0.13081902020925668,0.0029283173884925395,0.055038424902362174,16215
33,1. old unweighted lottery,-0.1668189531985261,0.002928307930847535,-0.004184792668962447,14680,-0.1308189531985261,0.002928307930847535,0.03181520733103755,14680
34,1. old unweighted lottery,-0.16681893879322662,0.002928306565134107,-0.02406136396551408,12850,-0.13081893879322654,0.002928306565134107,0.011938636034485911,12850
35,1. old unweighted lottery,-0.16681986674208246,0.0029283113201372456,-0.07608303540496249,11366,-0.13081986674208237,0.0029283113201372456,-0.040083035404962504,11366
36,1. old unweighted lottery,-0.16682052589961638,0.0029283138398271645,-0.10208687085505529,9646,-0.13082052589961632,0.0029283138398271645,-0.06608687085505523,9646
37,1. old unweighted lottery,-0.16681983269966516,0.002928316175223003,-0.11754898243593433,8638,-0.1308198326996651,0.002928316175223003,-0.08154898243593432,8638
38,1. old unweighted lottery,-0.16682020297719033,0.002928310366069195,-0.12816150510016594,7664,-0.13082020297719021,0.002928310366069195,-0.09216150510016596,7664
39,1. old unweighted lottery,-0.1668204541703498,0.002928308401135129,-0.14892368970619257,6865,-0.1308204541703498,0.002928308401135129,-0.11292368970619251,6865
40,1. old unweighted lottery,-0.16681898184945926,0.002928313263746102,-0.16500365111353751,6235,-0.1308189818494592,0.002928313263746102,-0.12900365111353748,6235
41,1. old unweighted lottery,-0.16681998079099358,0.002928315419367363,-0.17845835431960916,5191,-0.13081998079099366,0.002928315419367363,-0.14245835431960907,5191
42,1. old unweighted lottery,-0.1668201485735836,0.0029283084744951915,-0.15860595986711998,4231,-0.13082014857358362,0.0029283084744951915,-0.12260595986711995,4231
43,1. old unweighted lottery,-0.16682032356096116,0.0029283193432452564,-0.17604648365314657,3516,-0.13082032356096124,0.0029283193432452564,-0.1400464836531466,3516
44,1. old unweighted lottery,-0.16681851202318637,0.0029283068986567565,-0.16846455173618619,2886,-0.13081851202318637,0.0029283068986567565,-0.13246455173618613,2886
45,1. old unweighted lottery,-0.1668229031771434,0.0029283128877582564,-0.18233346001409725,2310,-0.13082290317714343,0.0029283128877582564,-0.14633346001409722,2310
46,1. old unweighted lottery,-0.1668208047117317,0.002928318862430319,-0.17919089264912125,1737,-0.13082080471173177,0.002928318862430319,-0.14319089264912116,1737
47,1. old unweighted lottery,-0.1668203788899148,0.0029283141866699148,-0.16098954311215471,1383,-0.13082037888991477,0.0029283141866699148,-0.1249895431121547,1383
48,1. old unweighted lottery,-0.1668207216650253,0.0029283136805148082,-0.16887627409104378,1088,-0.1308207216650253,0.0029283136805148082,-0.13287627409104386,1088
49,1. old unweighted lottery,-0.16681993142058352,0.002928310641512605,-0.1475301517334267,834,-0.13081993142058357,0.002928310641512605,-0.11153015173342673,834
50,1. old unweighted lottery,-0.1668205889849023,0.0029283078122031296,-0.11580974851371237,648,-0.1308205889849022,0.0029283078122031296,-0.07980974851371242,648
21,"2a. weighted lottery, old wage levels",-0.09266529524513822,0.002998806015610011,0.3687064660689832,8,-0.056665295245138275,0.002998806015610011,0.40470646606898325,8
22,"2a. weighted lottery, old wage levels",-0.09266821872901815,0.0029987156271218188,0.35308932222469575,109,-0.05666821872901814,0.0029987156271218188,0.38908932222469583,109
23,"2a. weighted lottery, old wage levels",-0.0926577022656441,0.0029986814530118524,0.279983200878305,1037,-0.056657702265644136,0.0029986814530118524,0.315983200878305,1037
24,"2a. weighted lottery, old wage levels",-0.09265079720376168,0.0029986930393133436,0.20679526599199036,3222,-0.05665079720376171,0.0029986930393133436,0.24279526599199033,3222
25,"2a. weighted lottery, old wage levels",-0.09265322982672274,0.002998685432768445,0.1332537251103778,8196,-0.05665322982672269,0.002998685432768445,0.1692537251103779,8196
26,"2a. weighted lottery, old wage levels",-0.09265407092013347,0.0029986948678264575,0.09851504388456912,15243,-0.05665407092013351,0.0029986948678264575,0.1345150438845691,15243
27,"2a. weighted lottery, old wage levels",-0.09265311417974038,0.002998688443904391,0.07878270204016234,19720,-0.05665311417974042,0.002998688443904391,0.11478270204016233,19720
28,"2a. weighted lottery, old wage levels",-0.09265362549595212,0.0029986928391387744,0.05993691633243055,21620,-0.05665362549595214,0.0029986928391387744,0.0959369163324305,21620
29,"2a. weighted lottery, old wage levels",-0.0926532795786046,0.002998686214716687,0.05006015487478794,21976,-0.05665327957860462,0.002998686214716687,0.08606015487478796,21976
30,"2a. weighted lottery, old wage levels",-0.09265376956955215,0.0029986881961841746,0.04164607801018348,20662,-0.05665376956955215,0.0029986881961841746,0.07764607801018346,20662
31,"2a. weighted lottery, old wage levels",-0.09265403176801294,0.0029986897559320315,0.033907404479119004,18671,-0.05665403176801293,0.0029986897559320315,0.06990740447911897,18671
32,"2a. weighted lottery, old wage levels",-0.0926537830588555,0.002998694623312423,0.027282808469870995,16800,-0.05665378305885553,0.002998694623312423,0.06328280846987099,16800
33,"2a. weighted lottery, old wage levels",-0.09265435976783082,0.0029986919250414323,0.003871053071960463,15276,-0.05665435976783088,0.0029986919250414323,0.03987105307196046,15276
34,"2a. weighted lottery, old wage levels",-0.09265388027332211,0.0029986884208271533,-0.013529884060625778,13449,-0.0566538802733221,0.0029986884208271533,0.022470115939374216,13449
35,"2a. weighted lottery, old wage levels",-0.0926549481342191,0.0029986876080733494,-0.06782226695937392,11900,-0.05665494813421916,0.0029986876080733494,-0.031822266959373936,11900
