alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,lottery winners,0,15000,0.8586289631372549
1. old unweighted lottery,lottery winners,0,20000,0.8181733925490196
1. old unweighted lottery,lottery winners,0,25000,0.7800020643137257
1. old unweighted lottery,lottery winners,0,30000,0.7439719756862744
1. old unweighted lottery,lottery winners,0,35000,0.7099204345098038
1. old unweighted lottery,lottery winners,0,40000,0.6777570266666667
1. old unweighted lottery,lottery winners,0,45000,0.6474153160784313
1. old unweighted lottery,lottery winners,0,50000,0.6189188203921568
1. old unweighted lottery,lottery winners,0,55000,0.5920895870588232
1. old unweighted lottery,lottery winners,0,60000,0.566785724705882
1. old unweighted lottery,lottery winners,0,65000,0.5430201384313725
1. old unweighted lottery,lottery winners,0,70000,0.5204897627450977
1. old unweighted lottery,lottery winners,0,75000,0.49905905529411776
1. old unweighted lottery,lottery winners,0,80000,0.4786315078431374
1. old unweighted lottery,lottery winners,0,85000,0.45911488352941177
1. old unweighted lottery,lottery winners,0,90000,0.4403886623529412
1. old unweighted lottery,lottery winners,0,95000,0.4223745274509805
1. old unweighted lottery,lottery winners,0,100000,0.4050773270588235
1. old unweighted lottery,lottery winners,0,105000,0.3883763941176469
1. old unweighted lottery,lottery winners,0,110000,0.3723046960784315
1. old unweighted lottery,lottery winners,0,115000,0.35678016431372533
1. old unweighted lottery,lottery winners,0,120000,0.3418370721568626
1. old unweighted lottery,lottery winners,0,125000,0.32741907960784317
1. old unweighted lottery,lottery winners,0,130000,0.3135103788235294
1. old unweighted lottery,lottery winners,0,135000,0.30007862
1. old unweighted lottery,lottery winners,0,140000,0.2871284227450979
1. old unweighted lottery,lottery winners,0,145000,0.274637336862745
1. old unweighted lottery,lottery winners,0,150000,0.2625916070588235
1. old unweighted lottery,lottery winners,0,155000,0.25094333098039223
1. old unweighted lottery,lottery winners,0,160000,0.23969562862745092
1. old unweighted lottery,lottery winners,0,165000,0.22883449137254888
1. old unweighted lottery,lottery winners,0,170000,0.2183038980392156
1. old unweighted lottery,lottery winners,0,175000,0.20816722588235292
1. old unweighted lottery,lottery winners,0,180000,0.1983630050980393
1. old unweighted lottery,lottery winners,0,185000,0.1889332913725491
1. old unweighted lottery,lottery winners,0,190000,0.1798235839215686
1. old unweighted lottery,lottery winners,0,195000,0.17104355568627458
1. old unweighted lottery,lottery winners,0,200000,0.1625431756862745
1. old unweighted lottery,lottery winners,0,205000,0.15439733568627448
1. old unweighted lottery,lottery winners,0,210000,0.1465658713725491
1. old unweighted lottery,lottery winners,0,215000,0.1389955368627451
1. old unweighted lottery,lottery winners,0,220000,0.13171529607843135
1. old unweighted lottery,lottery winners,0,225000,0.1247297556862745
1. old unweighted lottery,lottery winners,0,230000,0.11800661647058827
1. old unweighted lottery,lottery winners,0,235000,0.11154624862745104
1. old unweighted lottery,lottery winners,0,240000,0.10536269019607843
1. old unweighted lottery,lottery winners,0,245000,0.09941876941176471
1. old unweighted lottery,lottery winners,0,250000,0.0937262058823529
1. old unweighted lottery,lottery winners,0,255000,0.08830013372549024
1. old unweighted lottery,lottery winners,0,260000,0.08312508901960783
1. old unweighted lottery,lottery winners,0,265000,0.07816522039215686
1. old unweighted lottery,lottery winners,0,270000,0.07343903960784315
1. old unweighted lottery,lottery winners,0,275000,0.06893909490196078
1. old unweighted lottery,lottery winners,0,280000,0.06466749647058823
1. old unweighted lottery,lottery winners,0,285000,0.06058492941176466
1. old unweighted lottery,lottery winners,0,290000,0.056691314509803935
1. old unweighted lottery,lottery winners,0,295000,0.053000355686274495
1. old unweighted lottery,lottery winners,0,300000,0.049520853333333344
1. old unweighted lottery,lottery winners,0.1,0,1
1. old unweighted lottery,lottery winners,0.1,5000,0.9315789262745104
1. old unweighted lottery,lottery winners,0.1,10000,0.8712584070588238
1. old unweighted lottery,lottery winners,0.1,15000,0.8169203909803925
1. old unweighted lottery,lottery winners,0.1,20000,0.7675378078431373
1. old unweighted lottery,lottery winners,0.1,25000,0.7221400964705883
1. old unweighted lottery,lottery winners,0.1,30000,0.6801816956862745
1. old unweighted lottery,lottery winners,0.1,35000,0.6414677874509802
1. old unweighted lottery,lottery winners,0.1,40000,0.605657070588235
1. old unweighted lottery,lottery winners,0.1,45000,0.5725163533333336
1. old unweighted lottery,lottery winners,0.1,50000,0.5416914121568627
1. old unweighted lottery,lottery winners,0.1,55000,0.5130337670588236
1. old unweighted lottery,lottery winners,0.1,60000,0.4864044019607842
1. old unweighted lottery,lottery winners,0.1,65000,0.46147279647058825
1. old unweighted lottery,lottery winners,0.1,70000,0.438020217647059
1. old unweighted lottery,lottery winners,0.1,75000,0.41598177529411773
1. old unweighted lottery,lottery winners,0.1,80000,0.39505523725490194
1. old unweighted lottery,lottery winners,0.1,85000,0.3752185905882353
1. old unweighted lottery,lottery winners,0.1,90000,0.3564149843137255
