cut_variable,scenario_int,scenario_chr,mu_pi_num,quartile_int,cohort_share_pct,savings_lower_num,median_savings_num,savings_upper_num,wage_lower_num,median_wage_num,wage_upper_num,f1_share_pre_pct,f1_share_post_pct,mean_age_pre_num,mean_age_post_num,age_shift_num,hiring_rate_pct,volume_reduction_pct,fy2027_applications_num,fy2027_lost_num,cohort_mean_age_pre_num,cohort_mean_age_post_num,cohort_f1_share_pre_pct,cohort_f1_share_post_pct
payroll savings,4,"Tenure-adjusted, current lottery",0,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,84.37377983887359,29.302298900656247,29.826582534672166,0.5242836340159194,23.791158735842703,76.2088412641573,49239.26409195732,37524.672611478956,30.00160380567874,30.86259901177477,85.32812480613377,84.1822578505874
payroll savings,4,"Tenure-adjusted, current lottery",0,3,24.99932913269409,0.08994226004090458,0.172232187324,0.2636980127267044,37207.959868935934,100150.944471231,282585.4575735125,86.98335338775439,85.94122496186964,29.8156548561997,30.158390209859807,0.34273535366010677,42.51243229829436,57.48756770170564,49238.65315000968,28306.104065019834,30.00160380567874,30.86259901177477,85.32812480613377,84.1822578505874
payroll savings,4,"Tenure-adjusted, current lottery",0,4,25.000086563523343,0.26369946591017307,0.382514281396867,1.4196704837040985,34910.71545044166,86369.2918264212,268001.860087746,84.42147633577875,83.69143700073684,31.550955008764525,31.780593452481806,0.22963844371728115,65.19763538127494,34.802364618725065,49240.14498499808,17136.734796467896,30.00160380567874,30.86259901177477,85.32812480613377,84.1822578505874
payroll savings,4,"Tenure-adjusted, current lottery",0.1,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,77.19221724056796,29.337511115778952,30.32414258175097,0.9866314659720175,5.388668801434822,94.61133119856518,49241.835731318264,46588.35629201094,30.00160380567874,31.01097772241848,85.32812480613377,83.8646495765305
payroll savings,4,"Tenure-adjusted, current lottery",0.1,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,83.8800449493074,29.302298900656247,29.93795697110196,0.6356580704457144,16.8953264545118,83.1046735454882,49239.26409195732,40920.12967982192,30.00160380567874,31.01097772241848,85.32812480613377,83.8646495765305
payroll savings,4,"Tenure-adjusted, current lottery",0.1,3,24.99932913269409,0.08994226004090458,0.172232187324,0.2636980127267044,37207.959868935934,100150.944471231,282585.4575735125,86.98335338775439,85.68597596647338,29.8156548561997,30.253774733113378,0.43811987691367804,31.937976436776637,68.06202356322336,49238.65315000968,33512.82370917341,30.00160380567874,31.01097772241848,85.32812480613377,83.8646495765305
payroll savings,4,"Tenure-adjusted, current lottery",0.1,4,25.000086563523343,0.26369946591017307,0.382514281396867,1.4196704837040985,34910.71545044166,86369.2918264212,268001.860087746,84.42147633577875,83.44757638753,31.550955008764525,31.865029200695673,0.31407419193114805,53.87835674147172,46.12164325852828,49240.14498499808,22710.364009962916,30.00160380567874,31.01097772241848,85.32812480613377,83.8646495765305
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",-0.1,1,33.60328368324397,-2.3122049616740523,-0.235621378591166,-0.08660927193350473,40969.73866083081,138788.531016133,989121.7067940723,81.06441159249957,76.53957567974159,29.760537846341258,30.493344459821014,0.732806613479756,12.126038299944023,87.87396170005597,66184.9932531498,58159.37562245749,30.382967255271435,31.169952718312196,83.02614265376482,82.14018176613507
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",-0.1,2,26.71253026347329,-0.08660850010389473,0.00356325911285319,0.08993908245290386,38766.59590111127,122629.482685614,321634.9440147144,84.32090465108374,82.40066968506292,29.906045108449025,30.329846182426355,0.42380107397733013,34.579978492035956,65.42002150796404,52612.97234901255,34419.41782670318,30.382967255271435,31.169952718312196,83.02614265376482,82.14018176613507
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",-0.1,3,22.323341096099508,0.08994226004090458,0.168222652926392,0.2636980127267044,37275.57298183776,104685.151157449,282585.4575735125,84.84406487025367,83.98498359388242,30.483556771157183,30.75222252553616,0.26866575437897566,56.01747405816161,43.98252594183839,43968.029843757125,19338.250132145724,30.382967255271435,31.169952718312196,83.02614265376482,82.14018176613507
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",-0.1,4,17.36084495718323,0.26369946591017307,0.3681395569752435,1.245999571438833,34910.71545044166,91348.1717727989,268001.860087746,82.49345767079797,81.9385942850981,32.19220956375616,32.36758106519881,0.17537150144265468,75.70511530440099,24.29488469559901,34193.902512363864,8307.369188304334,30.382967255271435,31.169952718312196,83.02614265376482,82.14018176613507
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",0,1,33.60328368324397,-2.3122049616740523,-0.235621378591166,-0.08660927193350473,40969.73866083081,138788.531016133,989121.7067940723,81.06441159249957,75.73000114881489,29.760537846341258,30.632725345874736,0.872187499533478,8.313161986587083,91.68683801341291,66184.9932531498,60682.92755320372,30.382967255271435,31.32712019573781,83.02614265376482,81.85384036836734
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",0,2,26.71253026347329,-0.08660850010389473,0.00356325911285319,0.08993908245290386,38766.59590111127,122629.482685614,321634.9440147144,84.32090465108374,81.87335398361522,29.906045108449025,30.440067636431486,0.5340225279824615,25.455680697924272,74.54431930207573,52612.97234901255,39219.98210216073,30.382967255271435,31.32712019573781,83.02614265376482,81.85384036836734
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",0,3,22.323341096099508,0.08994226004090458,0.168222652926392,0.2636980127267044,37275.57298183776,104685.151157449,282585.4575735125,84.84406487025367,83.73725929928386,30.483556771157183,30.838273564932408,0.3547167937752249,44.43698801551958,55.56301198448042,43968.029843757125,24429.9616914267,30.382967255271435,31.32712019573781,83.02614265376482,81.85384036836734
payroll savings,5,"Tenure-adjusted, weighted lottery + old wage levels",0,4,17.36084495718323,0.26369946591017307,0.3681395569752435,1.245999571438833,34910.71545044166,91348.1717727989,268001.860087746,82.49345767079797,81.70555522708737,32.19220956375616,32.43961183882365,0.24740227506749335,66.37702289151025,33.62297710848975,34193.902512363864,11497.008014231404,30.382967255271435,31.32712019573781,83.02614265376482,81.85384036836734
