scenario,mu_pi_num,fee_num,hiring_rate_num
baseline,0.1,395000,0.011311116209030381
baseline,0.1,400000,0.01040484341544905
growth_and_separations,-0.1,0,1
growth_and_separations,-0.1,5000,0.9629144314251428
growth_and_separations,-0.1,10000,0.927737141479024
growth_and_separations,-0.1,15000,0.894025846450672
growth_and_separations,-0.1,20000,0.8616691960189172
growth_and_separations,-0.1,25000,0.8304169313663204
growth_and_separations,-0.1,30000,0.8001879661655018
growth_and_separations,-0.1,35000,0.7710140349638831
growth_and_separations,-0.1,40000,0.7427934342721351
growth_and_separations,-0.1,45000,0.7157356003388154
growth_and_separations,-0.1,50000,0.6897976812310298
growth_and_separations,-0.1,55000,0.6650615573751207
growth_and_separations,-0.1,60000,0.6414588774381776
growth_and_separations,-0.1,65000,0.6190443754264606
growth_and_separations,-0.1,70000,0.5977000247053009
growth_and_separations,-0.1,75000,0.5773278864026729
growth_and_separations,-0.1,80000,0.5578371391261381
growth_and_separations,-0.1,85000,0.5390555222230065
growth_and_separations,-0.1,90000,0.5209802710524458
growth_and_separations,-0.1,95000,0.5034144490717868
growth_and_separations,-0.1,100000,0.48642981929836937
growth_and_separations,-0.1,105000,0.4699502364650243
growth_and_separations,-0.1,110000,0.45384752711700893
growth_and_separations,-0.1,115000,0.4381939836709723
growth_and_separations,-0.1,120000,0.42295057763346733
growth_and_separations,-0.1,125000,0.40816401378791123
growth_and_separations,-0.1,130000,0.3937815286699137
growth_and_separations,-0.1,135000,0.3798100927037011
growth_and_separations,-0.1,140000,0.36617111950307046
growth_and_separations,-0.1,145000,0.35295460695042474
growth_and_separations,-0.1,150000,0.3400787040304934
growth_and_separations,-0.1,155000,0.3275388814380839
growth_and_separations,-0.1,160000,0.31537346180089876
growth_and_separations,-0.1,165000,0.3034925942918989
growth_and_separations,-0.1,170000,0.29194092491941365
growth_and_separations,-0.1,175000,0.28069486600315285
growth_and_separations,-0.1,180000,0.26974430013411455
growth_and_separations,-0.1,185000,0.2591022270064234
growth_and_separations,-0.1,190000,0.24870185407402176
growth_and_separations,-0.1,195000,0.23860009176254673
growth_and_separations,-0.1,200000,0.2287708818616032
growth_and_separations,-0.1,205000,0.21920337168537216
growth_and_separations,-0.1,210000,0.20991461965600805
growth_and_separations,-0.1,215000,0.20087242064892594
growth_and_separations,-0.1,220000,0.19207206889249664
growth_and_separations,-0.1,225000,0.18356659255076344
growth_and_separations,-0.1,230000,0.17533460977388773
growth_and_separations,-0.1,235000,0.16733226865250228
growth_and_separations,-0.1,240000,0.15959915649043552
