"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
" ","49","13000","UT","[not in a ZCTA]","Southeast Utah & Uintah Basin Region",125,0.0146 
" ","49","21000","UT","[not in a ZCTA]","Southwest & South Central Utah (Outside Washington County)--Cedar City",365,0.0426 
" ","49","49001","UT","[not in a ZCTA]","Utah County (West)--Saratoga Springs, Payson & Lehi (Southwest) Cities",43,0.005 
" ","49","49004","UT","[not in a ZCTA]","Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities",8,0.0009 
" ","49","53000","UT","[not in a ZCTA]","Washington County--St. George City",6,0.0007 
" ","51","07300","VA","[not in a ZCTA]","Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions PUM",7,0.0008 
" ","53","20700","WA","[not in a ZCTA]","Chelan & Douglas Counties",1,0.0001 
" ","53","22500","WA","[not in a ZCTA]","Grant & Kittitas Counties",4,0.0005 
" ","53","22900","WA","[not in a ZCTA]","Island & San Juan Counties",21,0.0025 
" ","53","24100","WA","[not in a ZCTA]","Lewis, Klickitat & Skamania Counties",4,0.0005 
" ","53","25301","WA","[not in a ZCTA]","Tacoma City (North)",12,0.0014 
" ","53","26102","WA","[not in a ZCTA]","Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities",7,0.0008 
" ","53","27701","WA","[not in a ZCTA]","Yakima County (Outer)--Sunnyside & Grandview Cities",41,0.0048 
" ","55","00100","WI","[not in a ZCTA]","Northwest Wisconsin Counties",6,0.0007 
" ","55","00600","WI","[not in a ZCTA]","Manitowoc, Door & Kewaunee Counties",1,0.0001 
" ","56","00100","WY","[not in a ZCTA]","Sheridan, Park, Teton, Lincoln & Big Horn Counties",75,0.0088 
" ","56","00200","WY","[not in a ZCTA]","Campbell, Goshen, Platte, Johnson, Washakie, Weston, Crook & Niobrara Counties",29,0.0034 
" ","56","00400","WY","[not in a ZCTA]","Natrona, Carbon, Converse & Albany Counties",183,0.0214 
" ","56","00500","WY","[not in a ZCTA]","Sweetwater, Fremont, Uinta, Sublette & Hot Springs Counties--Wind River Reservation",112,0.0131 
" ","72","00800","PR","[not in a ZCTA]","Humacao, Fajardo & Islas Municipios",30,0.0035 
" ","72","00900","PR","[not in a ZCTA]","Río Grande, Canóvanas & Loíza",9,0.0011 
"00601","72","01900","PR","Adjuntas, PR","San Sebastián, Utuado & Lares",17242,1 
"00602","72","00100","PR","Aguada, PR","Aguadilla, Aguada & Moca",37532,0.9996 
"00602","72","00200","PR","Aguada, PR","Mayagüez, Añasco & Hormigueros",16,0.0004 
"00603","72","00100","PR","Aguadilla, PR","Aguadilla, Aguada & Moca",49804,1 
"00606","72","00400","PR","Maricao, PR","Yauco, Sabana Grande & Peñuelas",283,0.0565 
"00606","72","01900","PR","Maricao, PR","San Sebastián, Utuado & Lares",4726,0.9435 
"00610","72","00100","PR","A�asco, PR","Aguadilla, Aguada & Moca",604,0.0235 
"00610","72","00200","PR","A�asco, PR","Mayagüez, Añasco & Hormigueros",25080,0.9747 
"00610","72","01900","PR","A�asco, PR","San Sebastián, Utuado & Lares",47,0.0018 
"00611","72","01900","PR","Utuado, A�asco, Angeles, PR (PO boxes)","San Sebastián, Utuado & Lares",1671,1 
"00612","72","01700","PR","Arecibo, PR","Arecibo, Manatí & Barceloneta",61360,0.9829 
"00612","72","01800","PR","Arecibo, PR","Isabela, Hatillo & Camuy",1065,0.0171 
"00616","72","01700","PR","Bajadero, PR","Arecibo, Manatí & Barceloneta",9828,1 
"00617","72","01700","PR","Barceloneta, PR","Arecibo, Manatí & Barceloneta",22541,1 
"00622","72","00300","PR","Boqueron, PR","Cabo Rojo, San Germán & Lajas",7838,1 
"00623","72","00300","PR","Cabo Rojo, PR","Cabo Rojo, San Germán & Lajas",39320,1 
"00624","72","00400","PR","Pe�uelas, PR","Yauco, Sabana Grande & Peñuelas",20399,0.9397 
"00624","72","00500","PR","Pe�uelas, PR","Ponce",1310,0.0603 
"00627","72","01800","PR","Camuy, PR","Isabela, Hatillo & Camuy",32873,1 
"00631","72","01900","PR","Lares, Casta�er, PR (PO boxes)","San Sebastián, Utuado & Lares",1414,1 
"00636","72","00300","PR","San Germ�n, Rosario, PR (PO boxes)","Cabo Rojo, San Germán & Lajas",555,1 
"00637","72","00300","PR","Sabana Grande, PR","Cabo Rojo, San Germán & Lajas",465,0.0201 
"00637","72","00400","PR","Sabana Grande, PR","Yauco, Sabana Grande & Peñuelas",22659,0.9799 
"00638","72","01700","PR","Ciales, PR","Arecibo, Manatí & Barceloneta",270,0.0149 
"00638","72","01900","PR","Ciales, PR","San Sebastián, Utuado & Lares",17839,0.9851 
"00641","72","01900","PR","Utuado, PR","San Sebastián, Utuado & Lares",24292,1 
"00646","72","01400","PR","Dorado, PR","Toa Baja & Dorado",35873,0.989 
"00646","72","01600","PR","Dorado, PR","Vega Baja, Vega Alta & Morovis",399,0.011 
"00647","72","00300","PR","Gu�nica�Ensenada, PR","Cabo Rojo, San Germán & Lajas",64,0.0139 
"00647","72","00400","PR","Gu�nica�Ensenada, PR","Yauco, Sabana Grande & Peñuelas",4547,0.9861 
"00650","72","01700","PR","Florida, PR","Arecibo, Manatí & Barceloneta",11999,0.8799 
"00650","72","01900","PR","Florida, PR","San Sebastián, Utuado & Lares",1638,0.1201 
"00652","72","01700","PR","Arecibo, Garrochales, PR","Arecibo, Manatí & Barceloneta",4020,1 
"00653","72","00400","PR","Gu�nica, PR","Yauco, Sabana Grande & Peñuelas",9244,1 
"00656","72","00400","PR","Guayanilla, PR","Yauco, Sabana Grande & Peñuelas",17965,1 
"00659","72","01800","PR","Hatillo, PR","Isabela, Hatillo & Camuy",37421,1 
"00660","72","00200","PR","Hormigueros, PR","Mayagüez, Añasco & Hormigueros",15448,1 
"00662","72","01800","PR","Isabela, PR","Isabela, Hatillo & Camuy",40770,1 
"00664","72","01900","PR","Jayuya, PR","San Sebastián, Utuado & Lares",15066,1 
"00667","72","00300","PR","Lajas, PR","Cabo Rojo, San Germán & Lajas",23522,1 
"00669","72","01900","PR","Lares, PR","San Sebastián, Utuado & Lares",27833,1 
"00670","72","00200","PR","Las Mar�as, PR","Mayagüez, Añasco & Hormigueros",170,0.0193 
"00670","72","01900","PR","Las Mar�as, PR","San Sebastián, Utuado & Lares",8658,0.9807 
"00674","72","01600","PR","Manat�, PR","Vega Baja, Vega Alta & Morovis",543,0.0138 
"00674","72","01700","PR","Manat�, PR","Arecibo, Manatí & Barceloneta",38802,0.9862 
"00676","72","00100","PR","Moca, PR","Aguadilla, Aguada & Moca",36706,1 
"00677","72","00100","PR","Rinc�n, PR","Aguadilla, Aguada & Moca",15302,0.995 
"00677","72","00200","PR","Rinc�n, PR","Mayagüez, Añasco & Hormigueros",77,0.005 
"00678","72","01800","PR","Quebradillas, PR","Isabela, Hatillo & Camuy",24971,0.9827 
"00678","72","01900","PR","Quebradillas, PR","San Sebastián, Utuado & Lares",439,0.0173 
"00680","72","00200","PR","Mayaguez, PR","Mayagüez, Añasco & Hormigueros",45237,0.9822 
"00680","72","00300","PR","Mayaguez, PR","Cabo Rojo, San Germán & Lajas",819,0.0178 
"00682","72","00200","PR","Mayaguez, PR","Mayagüez, Añasco & Hormigueros",28299,1 
"00683","72","00300","PR","San Germ�n, PR","Cabo Rojo, San Germán & Lajas",29788,1 
"00685","72","00100","PR","San Sebastian, PR","Aguadilla, Aguada & Moca",610,0.0151 
"00685","72","01800","PR","San Sebastian, PR","Isabela, Hatillo & Camuy",794,0.0197 
"00685","72","01900","PR","San Sebastian, PR","San Sebastián, Utuado & Lares",38890,0.9652 
"00687","72","01600","PR","Morovis, PR","Vega Baja, Vega Alta & Morovis",28727,1 
"00688","72","01700","PR","Arecibo, Sabana Hoyos, PR","Arecibo, Manatí & Barceloneta",12443,1 
"00690","72","00100","PR","Aguadilla, San Antonio, PR","Aguadilla, Aguada & Moca",5326,1 
"00692","72","01600","PR","Vega Alta, PR","Vega Baja, Vega Alta & Morovis",32873,1 
"00693","72","01600","PR","Vega Baja, PR","Vega Baja, Vega Alta & Morovis",55763,0.9941 
"00693","72","01700","PR","Vega Baja, PR","Arecibo, Manatí & Barceloneta",332,0.0059 
"00694","72","01600","PR","Vega Baja, PR (PO boxes)","Vega Baja, Vega Alta & Morovis",231,1 
"00698","72","00400","PR","Yauco, PR","Yauco, Sabana Grande & Peñuelas",33774,1 
"00703","72","02000","PR","Aguas Buenas, PR","Cayey, Cidra & Barranquitas",25332,1 
"00704","72","00700","PR","Guayama, Aguirre, PR","Guayama, Salinas & Patillas",6865,1 
"00705","72","00600","PR","Aibonito, PR","Juana Díaz, Coamo & Villalba",103,0.0042 
"00705","72","02000","PR","Aibonito, PR","Cayey, Cidra & Barranquitas",24364,0.9958 
"00707","72","00700","PR","Maunabo, PR","Guayama, Salinas & Patillas",10544,1 
"00714","72","00700","PR","Arroyo, PR","Guayama, Salinas & Patillas",15802,1 
"00715","72","00500","PR","Ponce, Mercedita, PR","Ponce",1408,0.6124 
"00715","72","00600","PR","Ponce, Mercedita, PR","Juana Díaz, Coamo & Villalba",891,0.3876 
"00716","72","00500","PR","Ponce, PR","Ponce",28423,1 
"00717","72","00500","PR","Ponce, PR","Ponce",14199,1 
"00718","72","00800","PR","Naguabo, PR","Humacao, Fajardo & Islas Municipios",23290,1 
"00719","72","01500","PR","Naranjito, PR","Toa Alta, Corozal & Naranjito",29961,0.9966 
"00719","72","02000","PR","Naranjito, PR","Cayey, Cidra & Barranquitas",102,0.0034 
"00720","72","00600","PR","Orocovis, PR","Juana Díaz, Coamo & Villalba",133,0.0065 
"00720","72","01900","PR","Orocovis, PR","San Sebastián, Utuado & Lares",20198,0.9935 
"00723","72","00700","PR","Patillas, PR","Guayama, Salinas & Patillas",15983,1 
